"","age","maritl","race","education","jobclass","wage"
"231655",18,"1. Never Married","1. White","1. < HS Grad","1. Industrial",75.0431540173515
"86582",24,"1. Never Married","1. White","4. College Grad","2. Information",70.4760196469445
"11443",50,"4. Divorced","1. White","2. HS Grad","2. Information",75.0431540173515
"376662",54,"2. Married","1. White","4. College Grad","2. Information",127.115743812184
"450601",44,"2. Married","4. Other","3. Some College","1. Industrial",169.528538036679
"377954",30,"1. Never Married","3. Asian","3. Some College","2. Information",111.720849360989
"228963",41,"1. Never Married","2. Black","3. Some College","2. Information",118.884359339886
"302778",45,"4. Divorced","1. White","3. Some College","2. Information",117.146816914805
"305706",34,"2. Married","1. White","2. HS Grad","1. Industrial",81.2832532842527
"8690",35,"1. Never Married","1. White","2. HS Grad","2. Information",89.4924795180001
"153561",39,"2. Married","1. White","4. College Grad","1. Industrial",134.705375118879
"449654",54,"2. Married","1. White","2. HS Grad","2. Information",134.705375118879
"447660",51,"2. Married","1. White","3. Some College","1. Industrial",90.4819133566401
"160191",37,"1. Never Married","3. Asian","4. College Grad","1. Industrial",82.6796372966372
"230312",50,"2. Married","1. White","5. Advanced Degree","2. Information",212.842352315711
"301585",56,"2. Married","1. White","4. College Grad","1. Industrial",129.156693004704
"153682",37,"1. Never Married","1. White","3. Some College","1. Industrial",98.5993438603892
"158226",38,"2. Married","3. Asian","4. College Grad","2. Information",200.543262324662
"11141",40,"4. Divorced","1. White","2. HS Grad","2. Information",50.406660861266
"448410",75,"2. Married","1. White","4. College Grad","1. Industrial",85.3839403789827
"233002",38,"1. Never Married","1. White","2. HS Grad","1. Industrial",94.0727147457005
"8684",49,"2. Married","1. White","5. Advanced Degree","2. Information",277.601417511009
"229379",43,"2. Married","1. White","2. HS Grad","1. Industrial",84.0459576539924
"86064",34,"2. Married","4. Other","2. HS Grad","1. Industrial",65.1108537153447
"378472",57,"2. Married","1. White","2. HS Grad","1. Industrial",116.265324062503
"157244",18,"1. Never Married","2. Black","2. HS Grad","1. Industrial",70.4760196469445
"82694",55,"2. Married","1. White","5. Advanced Degree","2. Information",195.676307990453
"377879",33,"1. Never Married","1. White","5. Advanced Degree","1. Industrial",81.2832532842527
"9747",34,"1. Never Married","1. White","2. HS Grad","1. Industrial",111.720849360989
"233301",36,"2. Married","1. White","4. College Grad","2. Information",89.8800467811106
"157123",56,"1. Never Married","1. White","5. Advanced Degree","2. Information",87.9810327856054
"230823",70,"1. Never Married","1. White","4. College Grad","1. Industrial",87.9810327856054
"80406",25,"1. Never Married","1. White","4. College Grad","1. Industrial",103.90247060316
"153810",27,"2. Married","1. White","1. < HS Grad","1. Industrial",66.2294082943902
"303642",27,"1. Never Married","1. White","4. College Grad","2. Information",109.833985642199
"87492",43,"1. Never Married","1. White","1. < HS Grad","1. Industrial",45.282169994022
"86929",39,"2. Married","2. Black","2. HS Grad","2. Information",81.2832532842527
"380872",52,"2. Married","1. White","5. Advanced Degree","1. Industrial",154.68529299563
"449480",35,"2. Married","1. White","4. College Grad","1. Industrial",267.901086855275
"305136",57,"2. Married","1. White","5. Advanced Degree","2. Information",176.989650489877
"227963",25,"1. Never Married","1. White","1. < HS Grad","1. Industrial",66.2294082943902
"232863",33,"1. Never Married","1. White","2. HS Grad","2. Information",116.265324062503
"8621",57,"2. Married","1. White","5. Advanced Degree","2. Information",200.543262324662
"379668",71,"2. Married","1. White","3. Some College","1. Industrial",101.82435207568
"84595",43,"2. Married","1. White","4. College Grad","1. Industrial",272.294783220064
"154634",23,"1. Never Married","1. White","3. Some College","1. Industrial",35.0334213214995
"84377",22,"1. Never Married","2. Black","2. HS Grad","2. Information",81.2832532842527
"234086",59,"2. Married","1. White","5. Advanced Degree","2. Information",200.543262324662
"154482",28,"1. Never Married","3. Asian","4. College Grad","2. Information",148.413159102577
"85916",61,"2. Married","1. White","2. HS Grad","1. Industrial",99.6894636984864
"12003",43,"2. Married","1. White","4. College Grad","1. Industrial",152.838800991182
"228071",54,"2. Married","1. White","3. Some College","1. Industrial",117.146816914805
"159076",48,"2. Married","1. White","5. Advanced Degree","2. Information",125.525498433836
"447501",42,"2. Married","1. White","2. HS Grad","1. Industrial",158.294621427791
